statsbomb_name,csv_name
AC Ajaccio,Ajaccio
Angers,Angers
AC Milan,Milan
AFC Bournemouth,Bournemouth
AS Monaco,Monaco
AS Roma,Roma
Almería,Almeria
Athletic Club,Ath Bilbao
Atlético Madrid,Ath Madrid
Bastia,Bastia
Bayer Leverkusen,Leverkusen
Birmingham City,Birmingham
Blackburn Rovers,Blackburn
Bolton Wanderers,Bolton
Borussia Dortmund,Dortmund
Borussia Mönchengladbach,M'gladbach
CD Numancia de Soria,Numancia
Caen,Caen
Celta Vigo,Celta
Charlton Athletic,Charlton
Clermont Foot,Clermont
Cádiz,Cadiz
Córdoba CF,Cordoba
Deportivo Alavés,Alaves
Darmstadt 98,Darmstadt
Eintracht Frankfurt,Ein Frankfurt
Espanyol,Espanol
FC Heidenheim,Heidenheim
FC Köln,FC Koln
FSV Mainz 05,Mainz
Gazélec Ajaccio,Ajaccio GFCO
Gimnàstic Tarragona,Gimnastic
Guingamp,Guingamp
Hamburger SV,Hamburg
Hannover 96,Hannover
Hellas Verona,Verona
Hertha Berlin,Hertha
Hércules,Hercules
Inter Milan,Inter
Leeds United,Leeds
Leganés,Leganes
Leicester City,Leicester
Levante UD,Levante
Man City,Man City
Man United,Man United
Manchester City,Man City
Manchester United,Man United
Toulouse,Toulouse
Málaga,Malaga
Newcastle United,Newcastle
Norwich City,Norwich
Lens,Lens
Lille,Lille
Lorient,Lorient
Metz,Metz
Montpellier,Montpellier
Nantes,Nantes
Rennes,Rennes
Strasbourg,Strasbourg
Troyes,Troyes
OGC Nice,Nice
Paris Saint-Germain,Paris SG
RC Deportivo La Coruña,La Coruna
Racing Santander,Santander
Rayo Vallecano,Vallecano
Real Betis,Betis
Real Murcia CF,Murcia
Real Sociedad,Sociedad
Real Valladolid,Valladolid
Real Zaragoza,Zaragoza
Recreativo Huelva,Recreativo
Saint-Étienne,St Etienne
Sporting Gijón,Sp Gijon
Stade Brestois,Brest
Stade de Reims,Reims
Stoke City,Stoke
Swansea City,Swansea
Tottenham Hotspur,Tottenham
VfB Stuttgart,Stuttgart
West Bromwich Albion,West Brom
West Ham United,West Ham
Wolverhampton Wanderers,Wolves
